index	time [Gyr]	a_exp	redshift	subhalo centre x [Mpc]	subhalo centre y [Mpc]	subhalo centre z [Mpc]	subhalo peculiar velocity x [km/s]	subhalo peculiar velocity y [km/s]	subhalo peculiar velocity z [km/s]	Halo mass [Msun]	Stellar mass [Msun]	BH mass [Msun]	SFR [Msun/yr]	sSFR [/yr]
2	0.476	0.091	9.993	4.106	1.009	3.195	-21.841	-153.131	-16.995	4.4235e+09	9.1169e+06	0.0000e+00	1.0837e-02	1.1887e-09
3	0.550	0.100	8.988	4.519	1.096	3.515	-31.803	-159.676	-28.042	8.7491e+09	1.1243e+07	0.0000e+00	6.2977e-02	5.6012e-09
4	0.635	0.110	8.075	4.971	1.191	3.868	-34.395	-170.176	-26.651	1.7227e+10	2.1886e+07	0.0000e+00	4.1337e-01	1.8887e-08
5	0.760	0.124	7.050	5.589	1.193	4.393	-29.248	-80.178	-49.646	9.0071e+09	1.9108e+07	0.0000e+00	7.2056e-02	3.7711e-09
6	0.942	0.143	5.971	6.458	1.484	5.025	-42.165	-199.801	-36.706	3.7338e+10	1.5274e+08	7.3480e+05	8.1790e-01	5.3548e-09
7	1.049	0.154	5.487	6.944	1.475	5.420	-43.590	-139.205	-129.265	4.1010e+10	6.4690e+07	7.4455e+05	1.2659e-01	1.9568e-09
8	1.168	0.166	5.037	7.446	1.658	5.790	-49.976	-206.416	-53.226	8.2978e+10	3.7322e+08	7.3480e+05	1.4156e+00	3.7929e-09
9	1.348	0.182	4.485	8.185	1.784	6.362	-53.359	-229.873	-55.987	1.0990e+11	5.0001e+08	1.4696e+06	1.2501e+00	2.5002e-09
10	1.556	0.201	3.984	9.040	1.790	7.010	-94.800	-58.193	-172.071	1.0082e+11	2.5246e+08	1.4813e+06	9.9237e-01	3.9308e-09
11	1.795	0.221	3.528	9.913	1.988	7.667	-61.912	-110.861	-108.234	3.2357e+11	6.5437e+08	2.9675e+06	1.8207e+00	2.7824e-09
12	2.144	0.249	3.017	11.137	2.193	8.622	-67.718	-186.562	-89.709	8.2297e+11	2.9222e+09	5.1836e+06	5.0208e+00	1.7182e-09
13	2.653	0.287	2.478	12.812	2.412	9.906	-80.209	-179.982	-90.765	1.1023e+12	1.5003e+10	2.9394e+06	3.5123e+01	2.3411e-09
14	2.949	0.309	2.237	13.739	2.534	10.612	-85.468	-178.255	-83.985	1.2245e+12	2.1736e+10	5.1908e+06	3.2795e+01	1.5088e-09
15	3.276	0.332	2.012	14.718	2.653	11.376	-82.616	-180.625	-79.386	1.6097e+12	2.8028e+10	4.4315e+06	3.1214e+01	1.1137e-09
16	3.767	0.365	1.737	16.134	2.819	12.487	-87.122	-185.334	-88.925	2.1041e+12	3.1359e+10	8.2225e+07	3.0137e+00	9.6104e-11
17	4.325	0.402	1.487	17.696	2.977	13.672	-85.616	-179.380	-101.960	2.3794e+12	3.0740e+10	9.1905e+07	3.5131e-01	1.1429e-11
18	4.958	0.443	1.259	19.416	3.163	14.968	-78.461	-177.481	-106.421	2.2420e+12	3.0316e+10	1.0377e+08	1.1132e+00	3.6720e-11
19	5.864	0.499	1.004	21.815	3.389	16.770	-84.698	-193.217	-107.567	2.3484e+12	3.0179e+10	2.2500e+06	3.8565e-02	1.2779e-12
20	6.472	0.536	0.865	23.387	3.490	17.950	-94.512	-199.188	-111.896	2.5246e+12	2.9923e+10	7.4051e+08	5.8068e-03	1.9406e-13
21	7.131	0.576	0.736	25.052	3.622	19.206	-97.815	-190.910	-113.479	2.6246e+12	3.2408e+10	7.4275e+08	2.0398e-01	6.2940e-12
22	7.841	0.619	0.615	26.844	3.751	20.547	-101.084	-193.278	-112.135	2.6325e+12	3.0698e+10	7.4494e+08	0.0000e+00	0.0000e+00
23	8.603	0.665	0.503	28.765	3.866	21.993	-105.616	-195.617	-111.338	2.6247e+12	3.0199e+10	7.4347e+08	9.8116e-02	3.2490e-12
24	9.698	0.732	0.366	31.531	4.011	24.076	-110.626	-198.210	-112.638	2.7714e+12	3.0023e+10	7.4345e+08	0.0000e+00	0.0000e+00
25	10.577	0.787	0.271	33.769	4.126	25.767	-112.088	-196.124	-113.270	2.9351e+12	2.9792e+10	7.4502e+08	5.9412e-03	1.9943e-13
26	11.501	0.846	0.183	36.177	4.247	27.587	-114.590	-192.905	-111.607	3.0727e+12	2.9620e+10	7.4421e+08	0.0000e+00	0.0000e+00
27	12.469	0.909	0.101	38.773	4.360	29.530	-115.478	-190.706	-109.425	3.2595e+12	2.9496e+10	7.4496e+08	0.0000e+00	0.0000e+00
28	13.821	1.000	0.000	42.533	4.516	32.335	-124.664	-183.928	-105.335	3.4702e+12	2.9439e+10	7.4495e+08	0.0000e+00	0.0000e+00
