index	time [Gyr]	a_exp	redshift	subhalo centre x [Mpc]	subhalo centre y [Mpc]	subhalo centre z [Mpc]	subhalo peculiar velocity x [km/s]	subhalo peculiar velocity y [km/s]	subhalo peculiar velocity z [km/s]	Halo mass [Msun]	Stellar mass [Msun]	BH mass [Msun]	SFR [Msun/yr]	sSFR [/yr]
2	0.476	0.091	9.993	4.048	0.721	3.349	-19.110	-69.700	-102.127	4.2799e+09	9.5632e+06	0.0000e+00	7.0834e-02	7.4069e-09
3	0.550	0.100	8.988	4.454	0.788	3.678	-20.794	-73.017	-109.488	5.7730e+09	1.2580e+07	0.0000e+00	3.2182e-02	2.5582e-09
4	0.635	0.110	8.075	4.901	0.861	4.038	-31.164	-76.802	-116.676	7.1869e+09	1.4520e+07	0.0000e+00	1.4112e-01	9.7188e-09
5	0.760	0.124	7.050	5.521	0.960	4.536	-30.483	-81.084	-125.396	1.0860e+10	1.8356e+07	0.0000e+00	1.8007e-02	9.8101e-10
6	0.942	0.143	5.971	6.367	1.093	5.214	-36.396	-86.085	-132.398	1.9688e+10	3.7189e+07	7.3480e+05	2.8201e-01	7.5831e-09
7	1.049	0.154	5.487	6.837	1.164	5.588	-33.036	-90.824	-143.268	2.7046e+10	6.1729e+07	7.3480e+05	5.9260e-02	9.6000e-10
8	1.168	0.166	5.037	7.341	1.239	5.986	-33.911	-100.549	-159.781	3.5648e+10	6.8959e+07	7.3480e+05	3.7521e-01	5.4410e-09
9	1.348	0.182	4.485	8.072	1.343	6.560	-36.496	-107.515	-172.125	4.9341e+10	9.4245e+07	7.3480e+05	2.5700e-01	2.7269e-09
10	1.556	0.201	3.984	8.879	1.454	7.179	-42.890	-111.491	-173.232	6.3350e+10	1.5215e+08	7.3480e+05	3.0755e-01	2.0214e-09
11	1.795	0.221	3.528	9.771	1.577	7.853	-53.968	-118.613	-172.025	8.9407e+10	2.2404e+08	7.3480e+05	3.0645e-01	1.3678e-09
12	2.144	0.249	3.017	10.984	1.726	8.788	-61.144	-126.428	-183.027	9.5003e+10	3.5358e+08	1.4696e+06	8.7729e-01	2.4812e-09
13	2.653	0.287	2.478	12.652	1.925	10.038	-73.054	-133.473	-196.441	1.2016e+11	5.5689e+08	1.4696e+06	3.9782e-01	7.1437e-10
14	2.949	0.309	2.237	13.445	2.115	10.466	-46.727	-182.261	-64.857	1.4126e+11	2.3642e+08	1.4759e+06	5.3340e-01	2.2562e-09
15	3.276	0.332	2.012	14.558	2.129	11.454	-86.770	-144.383	-213.452	1.5079e+11	7.9846e+08	1.4696e+06	4.8903e-01	6.1246e-10
16	3.767	0.365	1.737	15.973	2.266	12.488	-95.505	-150.348	-230.821	1.7119e+11	1.0804e+09	1.4696e+06	1.0433e+00	9.6570e-10
17	4.325	0.402	1.487	17.526	2.405	13.599	-106.666	-154.860	-243.080	2.0194e+11	1.4699e+09	1.4696e+06	9.7325e-01	6.6210e-10
18	4.958	0.443	1.259	19.213	2.551	14.801	-141.246	-167.613	-215.061	5.4333e+11	1.9519e+09	1.4696e+06	1.7792e+00	9.1154e-10
19	5.864	0.499	1.004	21.506	2.689	16.516	-143.119	-202.725	-168.319	5.0654e+11	3.1819e+09	2.9392e+06	2.3982e+00	7.5370e-10
20	6.472	0.536	0.865	23.024	2.753	17.662	-144.976	-199.824	-159.933	8.1075e+11	4.6877e+09	2.2044e+06	3.5845e+00	7.6465e-10
21	7.131	0.576	0.736	24.669	2.811	18.906	-124.567	-198.770	-136.450	1.1902e+12	6.1277e+09	2.2044e+06	3.0510e+00	4.9790e-10
22	7.841	0.619	0.615	26.452	2.871	20.223	-119.220	-217.191	-135.156	1.8650e+12	7.7308e+09	2.2044e+06	4.2926e+00	5.5527e-10
23	8.603	0.665	0.503	28.296	2.945	21.607	-108.894	-199.071	-134.723	1.9116e+12	1.0713e+10	2.9560e+06	5.2800e+00	4.9284e-10
24	9.698	0.732	0.366	31.093	2.978	23.618	-151.289	-189.430	-139.743	3.5875e+12	1.3149e+10	7.3480e+05	5.1847e+00	3.9430e-10
25	10.577	0.787	0.271	33.251	2.978	25.212	-199.305	-167.196	-111.574	3.2911e+12	2.3413e+10	5.9231e+06	1.6126e+01	6.8877e-10
26	11.501	0.846	0.183	35.483	3.105	27.022	-224.969	-146.344	-76.200	3.4034e+12	3.1489e+10	1.4069e+07	5.1074e+00	1.6220e-10
27	12.469	0.909	0.101	37.864	3.200	29.013	-258.649	-144.478	-35.888	3.0673e+12	3.4455e+10	2.2935e+07	4.0344e+00	1.1709e-10
28	13.821	1.000	0.000	41.269	3.307	31.937	-312.245	-142.591	0.642	2.9052e+12	3.9792e+10	3.2110e+07	3.8274e+00	9.6184e-11
