index	time [Gyr]	a_exp	redshift	subhalo centre x [Mpc]	subhalo centre y [Mpc]	subhalo centre z [Mpc]	subhalo peculiar velocity x [km/s]	subhalo peculiar velocity y [km/s]	subhalo peculiar velocity z [km/s]	Halo mass [Msun]	Stellar mass [Msun]	BH mass [Msun]	SFR [Msun/yr]	sSFR [/yr]
2	0.476	0.091	9.993	4.048	0.730	3.345	-21.856	-57.702	-107.591	4.3706e+09	1.0968e+07	0.0000e+00	7.5048e-02	6.8423e-09
3	0.550	0.100	8.988	4.454	0.799	3.673	-25.320	-59.936	-118.378	5.9114e+09	1.7845e+07	0.0000e+00	4.3683e-03	2.4479e-10
4	0.635	0.110	8.075	4.900	0.875	4.031	-33.067	-59.146	-122.241	8.0162e+09	1.9571e+07	0.0000e+00	5.5810e-02	2.8517e-09
5	0.760	0.124	7.050	5.600	1.329	4.347	-35.168	-168.075	-36.773	1.6919e+10	2.0209e+07	7.3481e+05	2.0234e-01	1.0013e-08
6	0.942	0.143	5.971	6.364	1.117	5.205	-30.115	-70.994	-148.108	2.3108e+10	3.5689e+07	7.3481e+05	1.7482e-01	4.8985e-09
7	1.049	0.154	5.487	6.935	1.590	5.381	-41.249	-193.422	-43.126	3.0946e+10	7.7874e+07	7.3481e+05	3.2177e-01	4.1319e-09
8	1.168	0.166	5.037	7.448	1.681	5.777	-45.835	-195.636	-51.056	3.4282e+10	8.2772e+07	7.3481e+05	1.0330e-01	1.2481e-09
9	1.348	0.182	4.485	8.070	1.381	6.541	-38.917	-79.613	-178.890	5.2087e+10	1.0125e+08	7.3481e+05	4.2773e-01	4.2246e-09
10	1.556	0.201	3.984	8.877	1.505	7.155	-41.672	-77.190	-182.936	7.8134e+10	1.4353e+08	7.3481e+05	1.8617e-01	1.2971e-09
11	1.795	0.221	3.528	9.762	1.641	7.832	-59.219	-86.418	-182.991	9.4773e+10	2.2255e+08	1.4699e+06	2.8082e-01	1.2618e-09
12	2.144	0.249	3.017	11.132	2.252	8.603	-63.162	-255.758	-68.888	1.1682e+11	4.2982e+08	7.3481e+05	1.1978e+00	2.7867e-09
13	2.653	0.287	2.478	12.856	2.360	9.872	-74.110	-165.371	-133.448	1.8829e+11	4.0063e+08	2.2156e+06	3.9553e-01	9.8727e-10
14	2.949	0.309	2.237	13.788	2.465	10.567	-97.686	-157.335	-121.338	3.1437e+11	7.9892e+08	2.9516e+06	1.2807e+00	1.6030e-09
15	3.276	0.332	2.012	14.766	2.622	11.330	-83.045	-228.928	-105.642	7.1886e+11	1.9179e+09	4.4647e+06	7.4082e+00	3.8626e-09
16	3.767	0.365	1.737	16.206	2.745	12.420	-103.584	-235.849	-111.294	9.8402e+11	5.1429e+09	5.9343e+06	1.7772e+01	3.4556e-09
17	4.325	0.402	1.487	17.754	2.876	13.604	-133.558	-240.763	-109.943	1.2736e+12	1.1915e+10	1.1942e+07	1.8172e+01	1.5252e-09
18	4.958	0.443	1.259	19.418	2.976	14.909	-127.281	-235.731	-109.787	2.1959e+12	2.1809e+10	1.7446e+07	1.9888e+01	9.1190e-10
19	5.864	0.499	1.004	21.709	3.126	16.664	-107.950	-220.498	-124.221	2.4737e+12	2.7467e+10	3.0772e+07	9.5073e+00	3.4614e-10
20	6.472	0.536	0.865	23.286	3.216	17.828	-102.145	-227.819	-127.175	2.4112e+12	2.8849e+10	3.1503e+07	5.1162e+00	1.7734e-10
21	7.131	0.576	0.736	24.988	3.271	19.072	-122.223	-235.654	-137.093	2.3493e+12	3.1107e+10	3.3293e+07	4.9869e+00	1.6031e-10
22	7.841	0.619	0.615	26.753	3.348	20.395	-127.539	-228.459	-136.367	2.5029e+12	4.2644e+10	4.4155e+07	6.1978e+00	1.4534e-10
23	8.603	0.665	0.503	28.627	3.426	21.784	-130.556	-222.157	-137.820	2.7093e+12	4.7593e+10	5.1633e+07	4.4987e+00	9.4525e-11
24	9.698	0.732	0.366	31.366	3.490	23.817	-129.706	-220.262	-137.152	2.7052e+12	5.0652e+10	6.3429e+07	2.7099e+00	5.3500e-11
25	10.577	0.787	0.271	33.577	3.549	25.466	-137.800	-204.404	-134.120	2.7476e+12	5.1479e+10	6.7776e+07	2.6437e+00	5.1355e-11
26	11.501	0.846	0.183	35.951	3.627	27.240	-148.658	-180.322	-119.502	3.0050e+12	5.2228e+10	7.0165e+07	2.8415e+00	5.4406e-11
27	12.469	0.909	0.101	38.492	3.737	29.166	-159.048	-165.999	-95.603	3.1290e+12	5.2922e+10	7.5923e+07	2.2406e+00	4.2339e-11
28	13.821	1.000	0.000	42.109	3.885	31.989	-194.300	-159.952	-73.718	3.1988e+12	5.4002e+10	7.8532e+07	1.7107e+00	3.1678e-11
